CountryName,Date,StringencyIndexForDisplay,C8_International travel controls,Travel Requirement
Malta,20210108,52.78,3,Travellers from some regions are banned
Myanmar,20201220,75.93,4,Travel from all regions is banned ie total border closure
Mongolia,20210104,75.46,4,Travel from all regions is banned ie total border closure
Mozambique,20201231,55.56,3,Travellers from some regions are banned
Mauritania,20210104,51.85,2,Travellers may require to quarantine
Mauritius,20210104,16.67,2,Travellers may require to quarantine
Malawi,20210103,48.15,4,Travel from all regions is banned ie total border closure
Malaysia,20200503,73.15,3,Travellers from some regions are banned
Malaysia,20210104,67.13,3,Travellers from some regions are banned
Namibia,20210104,38.89,1,"No known travel restrictions, travellers might be screened"
Niger,20210104,31.48,2,Travellers may require to quarantine
Nigeria,20210104,58.33,2,Travellers may require to quarantine
Nicaragua,20210103,8.33,1,"No known travel restrictions, travellers might be screened"
Netherlands,20210106,84.26,3,Travellers from some regions are banned
Norway,20210106,64.81,2,Travellers may require to quarantine
Nepal,20210102,60.19,3,Travellers from some regions are banned
New Zealand,20210105,22.22,4,Travel from all regions is banned ie total border closure
Oman,20210104,37.04,2,Travellers may require to quarantine
Pakistan,20210107,64.35,2,Travellers may require to quarantine
Panama,20210104,76.85,1,"No known travel restrictions, travellers might be screened"
Peru,20210104,61.11,2,Travellers may require to quarantine
Philippines,20210104,55.09,2,Travellers may require to quarantine
Papua New Guinea,20210102,29.63,2,Travellers may require to quarantine
Poland,20210104,71.3,3,Travellers from some regions are banned
Puerto Rico,20210104,64.81,2,Travellers may require to quarantine
Portugal,20201221,67.59,3,Travellers from some regions are banned
Paraguay,20210104,52.78,1,"No known travel restrictions, travellers might be screened"
Palestine,20210104,62.5,2,Travellers may require to quarantine
Qatar,20210104,56.48,2,Travellers may require to quarantine
Kosovo,20210106,74.07,2,Travellers may require to quarantine
Romania,20210103,76.85,3,Travellers from some regions are banned
Russia,20210104,47.69,3,Travellers from some regions are banned
Rwanda,20201221,55.09,1,"No known travel restrictions, travellers might be screened"
Saudi Arabia,20210104,52.78,4,Travel from all regions is banned ie total border closure
Sudan,20201123,28.7,1,"No known travel restrictions, travellers might be screened"
Sudan,20210104,28.7,3,Travellers from some regions are banned
Senegal,20210104,43.52,3,Travellers from some regions are banned
Singapore,20210107,56.48,3,Travellers from some regions are banned
Solomon Islands,20201229,36.11,4,Travel from all regions is banned ie total border closure
Sierra Leone,20210104,37.04,1,"No known travel restrictions, travellers might be screened"
El Salvador,20210103,47.22,1,"No known travel restrictions, travellers might be screened"
San Marino,20210103,70.37,2,Travellers may require to quarantine
Somalia,20210102,37.96,1,"No known travel restrictions, travellers might be screened"
Serbia,20210102,60.19,1,"No known travel restrictions, travellers might be screened"
South Sudan,20210104,47.22,1,"No known travel restrictions, travellers might be screened"
Suriname,20210105,57.41,3,Travellers from some regions are banned
Slovak Republic,20210102,46.3,2,Travellers may require to quarantine
Slovenia,20201220,68.52,2,Travellers may require to quarantine
Sweden,20210108,71.3,3,Travellers from some regions are banned
Eswatini,20210104,59.26,1,"No known travel restrictions, travellers might be screened"
Seychelles,20210105,34.26,3,Travellers from some regions are banned
Syria,20210104,54.17,3,Travellers from some regions are banned
Chad,20210103,61.11,2,Travellers may require to quarantine
Togo,20210103,68.52,2,Travellers may require to quarantine
Thailand,20210103,63.89,2,Travellers may require to quarantine
Tajikistan,20201231,36.11,2,Travellers may require to quarantine
Turkmenistan,20210104,55.56,4,Travel from all regions is banned ie total border closure
Timor-Leste,20210104,60.19,4,Travel from all regions is banned ie total border closure
Tonga,20210104,47.22,4,Travel from all regions is banned ie total border closure
Trinidad and Tobago,20210102,68.52,4,Travel from all regions is banned ie total border closure
Tunisia,20201215,68.52,2,Travellers may require to quarantine
Turkey,20210103,80.09,2,Travellers may require to quarantine
Taiwan,20210104,19.44,3,Travellers from some regions are banned
Tanzania,20201221,6.48,1,"No known travel restrictions, travellers might be screened"
Uganda,20210106,47.22,1,"No known travel restrictions, travellers might be screened"
Ukraine,20210104,61.57,2,Travellers may require to quarantine
Uruguay,20210102,70.37,4,Travel from all regions is banned ie total border closure
United States,20210104,71.76,3,Travellers from some regions are banned
Uzbekistan,20210103,42.59,3,Travellers from some regions are banned
Venezuela,20210103,84.26,4,Travel from all regions is banned ie total border closure
United States Virgin Islands,20201121,46.3,2,Travellers may require to quarantine
Vietnam,20210104,55.09,4,Travel from all regions is banned ie total border closure
Vanuatu,20201229,30.56,4,Travel from all regions is banned ie total border closure
Yemen,20201220,16.67,2,Travellers may require to quarantine
South Africa,20210103,50,2,Travellers may require to quarantine
Zambia,20210104,49.07,1,"No known travel restrictions, travellers might be screened"
Zimbabwe,20210104,87.04,4,Travel from all regions is banned ie total border closure
